CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle,ClassicCasual
105990-820,Boots,Ankle,,EVA;Leather;Moisture Wicking;Padded,Lace up,Men,Leather;Suede,Round Toe,1
105990-2206,Boots,Ankle,,EVA;Leather;Moisture Wicking;Padded,Lace up,Men,Leather,Round Toe,1
105990-94081,Boots,Ankle,,EVA;Leather,Lace up,Men,Suede,Round Toe,0
105990-209849,Boots,Ankle,,EVA;Leather,Lace up,Men,Suede,Round Toe,0
105990-227306,Boots,Ankle,,EVA;Leather;Moisture Wicking;Padded,Lace up,Men,Suede,Round Toe,0
105990-302913,Boots,Ankle,,EVA;Leather;Moisture Wicking;Padded,Lace up,Men,Suede,Round Toe,0
106507-71,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Moc Toe,1
106507-2819,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Moc Toe,1
106635-359864,Shoes,Boat Shoes,,Leather;Moisture Wicking;Padded,Slip-On,Men,Leather,Moc Toe;Round Toe;Closed Toe,1
106639-111,Shoes,Oxfords,1in - 1 3/4in,Orthotic Friendly;Padded;Removable,Lace up,Men,Leather;Nubuck,Moc Toe,1
106639-293,Shoes,Oxfords,1in - 1 3/4in,Orthotic Friendly;Padded;Removable,Lace up,Men,Leather;Nubuck,Moc Toe,1
106639-624,Shoes,Oxfords,1in - 1 3/4in,Orthotic Friendly;Padded;Removable,Lace up,Men,Leather;Nubuck,Moc Toe,1
106639-1177,Shoes,Oxfords,1in - 1 3/4in,Orthotic Friendly;Padded;Removable,Lace up,Men,Leather;Nubuck,Moc Toe,1
107213-3,Boots,Mid-Calf,,Padded,Pull-on,Men,Sheepskin,Round Toe,1
107213-18,Boots,Mid-Calf,,Padded,Pull-on,Men,Sheepskin,Round Toe,1
107213-278,Boots,Mid-Calf,,Padded,Pull-on,Men,Sheepskin,Round Toe,1
107213-401,Boots,Mid-Calf,,Padded,Pull-on,Men,Sheepskin,Round Toe,1
107213-621,Boots,Mid-Calf,,Padded,Pull-on,Men,Sheepskin,Round Toe,1
107225-18,Boots,Mid-Calf,,Padded;Removable,Pull-on,Men,Sheepskin,Capped Toe;Round Toe,1
107452-3,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Full-grain leather;Leather;Mesh;Nubuck;Nylon;Rubber,Round Toe,1
107452-20,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Full-grain leather;Leather;Mesh;Nubuck;Nylon;Rubber,Round Toe,1
107452-328,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Full-grain leather;Leather;Mesh;Nubuck;Nylon;Rubber,Round Toe,1
107452-2754,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Full-grain leather;Leather;Mesh;Nubuck;Nylon;Rubber,Round Toe,1
107456-20,Boots,Ankle,,,Lace up,Men,Full-grain leather;Leather;Mesh;Nylon;Rubber,Round Toe,1
107456-69,Boots,Ankle,,,Lace up,Men,Full-grain leather;Leather;Mesh;Nylon;Rubber,Round Toe,1
107456-328,Boots,Ankle,,,Lace up,Men,Full-grain leather;Leather;Mesh;Nylon;Rubber,Round Toe,1
107456-2601,Boots,Ankle,,,Lace up,Men,Full-grain leather;Leather;Mesh;Nylon;Rubber,Round Toe,1
107535-3,Boots,Ankle,,Leather;Padded,Lace up,Men,Leather;Nubuck;Rubber,,1
107535-716,Boots,Ankle,,Leather;Padded,Lace up,Men,Leather;Nubuck;Rubber,,1
107535-2740,Boots,Ankle,,Leather;Padded,Lace up,Men,Leather;Nubuck;Rubber,,1
107684-1109,Boots,Mid-Calf,,Leather;Padded,Pull-on,Men,Leather;Rubber,Round Toe;Closed Toe,1
107684-109710,Boots,Mid-Calf,,Leather;Padded,Pull-on,Men,Leather;Rubber,Round Toe;Closed Toe,1
107684-170429,Boots,Mid-Calf,,Leather;Padded,Pull-on,Men,Leather;Rubber,Round Toe;Closed Toe,1
107908-72,Shoes,Loafers,,Padded,Slip-On,Men,Leather,Moc Toe,1
107908-255,Shoes,Loafers,,Padded,Slip-On,Men,Leather,Moc Toe,1
107950-1921,Shoes,Oxfords,,Leather;Polyurethane,Lace up,Men,Leather;Rubber,Round Toe,1
108030-3,Shoes,Loafers,,Leather,Slip-On,Men,Leather;Rubber,Round Toe,1
108083-3208,Slippers,Slipper Flats,,Padded,Slip-On,Men,Fleece;Sheepskin,Round Toe,1
108083-78232,Slippers,Slipper Flats,,Padded,Slip-On,Men,Fleece;Sheepskin,Round Toe,1
108084-3,Slippers,Slipper Flats,,Moisture Wicking;Padded,Slip-On,Men,Fleece;Sheepskin,Round Toe,1
108084-278,Slippers,Slipper Flats,,Moisture Wicking;Padded,Slip-On,Men,Fleece;Sheepskin,Round Toe,1
108085-3208,Slippers,Slipper Flats,,Padded,Slip-On,Men,Leather;Sheepskin,,1
108088-29406,Slippers,Slipper Flats,,,Hook and Loop,Men,Sheepskin,,1
108457-72,Shoes,Loafers,,EVA;Leather,,Men,Leather,Moc Toe,1
108457-255,Shoes,Loafers,,EVA;Leather,,Men,Leather,Moc Toe,1
108457-665,Shoes,Loafers,,EVA;Leather,,Men,Leather,Moc Toe,1
109018-981,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Wingtip,1
109018-2898,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Wingtip,1
109018-3673,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Wingtip,1
109018-3675,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Wingtip,1
109298-3839,Shoes,Oxfords,,EVA;Leather,Lace up,Men,Leather,Moc Toe,1
109565-3937,Shoes,Oxfords,,Padded,Lace up,Men,Full-grain leather;Leather,Capped Toe,1
109565-3938,Shoes,Oxfords,,Padded,Lace up,Men,Full-grain leather;Leather,Capped Toe,1
110028-84,Boots,Ankle,1in - 1 3/4in,Moisture Wicking;Padded,Lace up,Men,Full-grain leather;Leather;Nubuck,Round Toe;Closed Toe,1
110028-531,Boots,Ankle,1in - 1 3/4in,Moisture Wicking;Padded,Lace up,Men,Full-grain leather,Round Toe;Closed Toe,0
110028-2099,Boots,Ankle,1in - 1 3/4in,Moisture Wicking;Padded,Lace up,Men,Full-grain leather;Leather;Nubuck,Round Toe;Closed Toe,1
110028-154999,Boots,Ankle,1in - 1 3/4in,Moisture Wicking;Padded,Lace up,Men,Full-grain leather;Leather;Nubuck,Round Toe;Closed Toe,1
110028-363312,Boots,Ankle,1in - 1 3/4in,Moisture Wicking;Padded,Lace up,Men,Full-grain leather;Leather;Nubuck,Round Toe;Closed Toe,1
110232-21549,Boots,Ankle,,Padded,Buckle,Men,Nubuck,,0
110886-72,Shoes,Clogs and Mules,1in - 1 3/4in,Leather;Padded,Buckle;Slip-On,Men,Leather,Round Toe,1
110886-4658,Shoes,Clogs and Mules,1in - 1 3/4in,Leather;Padded,Buckle;Slip-On,Men,Leather,Round Toe,1
110887-28251,Shoes,Loafers,1in - 1 3/4in,Orthotic Friendly;Padded;Removable,Slip-On,Men,Leather,Round Toe,1
110887-56815,Shoes,Loafers,1in - 1 3/4in,Orthotic Friendly;Padded;Removable,Slip-On,Men,Leather,Round Toe,1
110889-4658,Sandals,Flat,1in - 1 3/4in,Latex Lined;Padded;Removable,Buckle,Men,Leather,,1
112305-1279,Slippers,Slipper Flats,,Padded,Slip-On,Men,Sheepskin;Suede,Center Seam;Round Toe,1
112305-376803,Slippers,Slipper Flats,,Padded,Slip-On,Men,Sheepskin;Suede,Center Seam;Round Toe,1
112308-376759,Slippers,Slipper Flats,,Moisture Wicking;Padded,Slip-On,Men,Sheepskin;Suede,Moc Toe;Round Toe,1
112821-6,Shoes,Oxfords,,,Lace up,Men,Leather,,1
112821-325,Shoes,Oxfords,,,Lace up,Men,Leather,,1
112821-1233,Shoes,Oxfords,,,Lace up,Men,Leather,,1
113232-3605,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,1
113255-1670,Boots,Mid-Calf,,,Lace up,Men,Leather,Round Toe,1
113483-20,Boots,Ankle,1in - 1 3/4in,Padded;Polyurethane;Removable,Lace up,Men,Leather;Mesh;Nylon;Rubber,Round Toe,1
113491-6,Boots,Ankle,,Polyurethane;Removable,Lace up,Men,Leather;Mesh;Nylon;Rubber,Round Toe,1
113569-2911,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Full-grain leather,,0
113614-21680,Shoes,Oxfords,1in - 1 3/4in,,Lace up,Men,Full-grain leather,Round Toe;Closed Toe,0
113614-133215,Shoes,Oxfords,1in - 1 3/4in,,Lace up,Men,Full-grain leather,Round Toe;Closed Toe,0
113614-238328,Shoes,Oxfords,1in - 1 3/4in,,Lace up,Men,Full-grain leather,Round Toe;Closed Toe,0
113616-104,Shoes,Loafers,,Leather;Padded,Slip-On,Men,Leather,,1
113616-47859,Shoes,Loafers,,Leather;Padded,Slip-On,Men,Leather,,1
113616-238321,Shoes,Loafers,,Leather;Padded,Slip-On,Men,Leather,,1
113620-238303,Sandals,Flat,1in - 1 3/4in,Leather;Padded,Ankle Strap;Hook and Loop,Men,Hair Calf;Leather,Round Toe,1
113779-5877,Shoes,Sneakers and Athletic Shoes,,Removable,Lace up,Men,Mesh,,0
114292-72,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Round Toe,1
114292-291,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Round Toe,1
114292-360,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Round Toe,1
114508-3208,Slippers,Slipper Flats,,Padded,Slip-On,Men,Leather;Sheepskin,,1
114510-6360,Slippers,Slipper Flats,Flat,,Slip-On,Men,Sheepskin,,1
114829-72,Shoes,Oxfords,,Leather;Padded;Removable,Lace up,Men,Hair Calf;Leather,Capped Toe,1
115074-6370,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Men,Leather;Rubber,Capped Toe;Round Toe,1
115075-2099,Boots,Ankle,,Removable,Lace up,Men,Full-grain leather;Leather;Nubuck;Rubber,Round Toe,1
115075-22049,Boots,Ankle,,Removable,Lace up,Men,Full-grain leather;Leather;Nubuck;Rubber,Round Toe,1
115191-151,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,1
115191-7968,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Men,Leather,,1
115798-3,Boots,Ankle,,EVA,Lace up,Men,Leather;Mesh;Nylon;Rubber;EVA,Round Toe,1
115798-18,Boots,Ankle,,EVA,Lace up,Men,Leather;Mesh;Nylon;Rubber;EVA,Round Toe,1
116001-401,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Men,Leather;Mesh;Suede,,1
116722-106,Slippers,Slipper Flats,,Padded,Slip-On,Men,Sheepskin,Moc Toe;Closed Toe,1
116722-281,Slippers,Slipper Flats,,,Slip-On,Men,Shearling;Sheepskin,Moc Toe;Closed Toe,1
116722-376691,Slippers,Slipper Flats,,,Slip-On,Men,Shearling;Sheepskin,Moc Toe;Closed Toe,1
117192-7721,Slippers,Slipper Flats,,,,Men,Suede,,0
117192-7722,Slippers,Slipper Flats,,,,Men,Suede,,0
117623-3,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-1528,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-19673,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-40591,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-95199,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-134719,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,1
117623-282804,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-326901,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-326921,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-353106,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Padded;Removable;Textile,Lace up,Men,Leather;Mesh;Rubber;Suede,,1
117623-375233,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,1
117623-375234,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather;Suede,Round Toe;Closed Toe,1
117901-72,Shoes,Loafers,,Leather;Padded,Slip-On,Men,Full-grain leather;Leather,Round Toe;Wingtip,1
117901-255,Shoes,Loafers,,Leather;Padded,Slip-On,Men,Full-grain leather;Leather,Round Toe;Wingtip,1
117987-162787,Boots,Mid-Calf,1in - 1 3/4in,Padded,Lace up,Men,Canvas,,0
117987-183092,Boots,Mid-Calf,1in - 1 3/4in,Padded;Polyurethane,Lace up,Men,Canvas,,0
117987-315769,Boots,Mid-Calf,1in - 1 3/4in,Padded;Polyurethane,Lace up,Men,Canvas,,0
117987-315771,Boots,Mid-Calf,1in - 1 3/4in,Padded;Polyurethane,Lace up,Men,Canvas,,0
117987-315772,Boots,Mid-Calf,1in - 1 3/4in,Padded;Polyurethane,Lace up,Men,Canvas,,0
118182-3,Shoes,Oxfords,,Orthotic Friendly;Removable,Hook and Loop,Men,Leather;Nylon,Round Toe,1
118245-4275,Shoes,Clogs and Mules,1in - 1 3/4in,Removable,Slip-On,Men,Leather,,1
118245-4566,Shoes,Clogs and Mules,1in - 1 3/4in,Removable,Slip-On,Men,Leather,,1
118245-164509,Shoes,Clogs and Mules,1in - 1 3/4in,Removable,Slip-On,Men,Leather,,1
118471-358597,Shoes,Oxfords,,,Lace up,Men,Leather,Wingtip,1
118479-8607,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Capped Toe;Round Toe,1
118479-375998,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Capped Toe;Round Toe,1
118502-8607,Shoes,Oxfords,,Padded,Lace up,Men,Leather,Algonquin;Moc Toe;Round Toe;Closed Toe,1
118505-248564,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Almond;Closed Toe,1
118505-248565,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Almond;Closed Toe,1
118508-8607,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Moc Toe;Pointed Toe;Round Toe,1
118521-124426,Shoes,Loafers,,Padded,Slip-On,Men,Leather,Moc Toe;Round Toe;Closed Toe,1
118521-358593,Shoes,Loafers,,Padded,Slip-On,Men,Leather,Moc Toe;Round Toe;Closed Toe,1
118989-3,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,1
118989-14,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,1
118989-716,Shoes,Sneakers and Athletic Shoes,,EVA;Padded;Removable,Lace up,Men,Full-grain leather;Leather,Bump Toe;Moc Toe;Round Toe,1
119043-815,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Nylon;Rubber,,0
119817-1681,Boots,Mid-Calf,1in - 1 3/4in,EVA;Moisture Wicking;Removable,Lace up;Pull-on,Men,Full-grain leather,,0
119818-3,Boots,Mid-Calf,1in - 1 3/4in,Removable,Pull-on,Men,Leather;Mesh;Suede,,1
120001-9451,Shoes,Oxfords,,EVA;Leather;Padded;Removable,Lace up,Men,Leather,Apron Toe;Moc Toe,1
120001-9453,Shoes,Oxfords,,EVA;Leather;Padded;Removable,Lace up,Men,Leather,Apron Toe;Moc Toe,1
120122-1233,Boots,Ankle,,Padded,Lace up,Men,Leather,Round Toe,1
120421-506,Shoes,Sneakers and Athletic Shoes,,EVA;Orthotic Friendly;Padded;Removable,Lace up,Men,Faux Leather;Mesh;Synthetic,,1
120525-325,Sandals,Flat,,,Slip-On,Men,Nubuck,,0
121760-3,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather,Moc Toe;Round Toe,1
121760-14,Shoes,Sneakers and Athletic Shoes,,Orthotic Friendly;Removable,Lace up,Men,Leather,Moc Toe;Round Toe,1
122633-86,Shoes,Clogs and Mules,,Leather;Padded;Polyurethane,Slip-On,Men,Leather,Round Toe;Wide Toe Box,1
122633-10382,Shoes,Clogs and Mules,,Leather;Padded;Polyurethane,Slip-On,Men,Leather,Round Toe;Wide Toe Box,1
122633-11369,Shoes,Clogs and Mules,,Leather;Padded;Polyurethane,Slip-On,Men,Leather,Round Toe;Wide Toe Box,1
122633-241774,Shoes,Clogs and Mules,,Leather;Padded;Polyurethane,Slip-On,Men,Leather,Round Toe;Wide Toe Box,1
122633-241775,Shoes,Clogs and Mules,,Leather;Padded;Polyurethane,Slip-On,Men,Leather,Round Toe;Wide Toe Box,1
122749-183092,Boots,Ankle,,Padded,Lace up,Men,Canvas;Rubber,,0
122749-315768,Boots,Ankle,,Padded,Lace up,Men,Canvas;Rubber,,0
122749-315769,Boots,Ankle,,Padded,Lace up,Men,Canvas;Rubber,,0
122749-315771,Boots,Ankle,,Padded,Lace up,Men,Canvas;Rubber,,0
122749-315772,Boots,Ankle,,Padded,Lace up,Men,Canvas;Rubber,,0
123495-652,Boots,Ankle,,Removable,Lace up,Men,Leather;Nubuck,Round Toe,1
123523-22042,Boots,Ankle,,Polyurethane;Removable,Lace up,Men,Full-grain leather;Leather;Rubber,,1
124776-751,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Leather,,1
125024-10174,Shoes,Loafers,,Poron,Slip-On,Men,Leather,Moc Toe;Round Toe,1
125024-13101,Shoes,Loafers,,Poron,Slip-On,Men,Leather,Moc Toe;Round Toe,1
125414-28,Shoes,Boat Shoes,,Removable,Lace up,Men,Leather,Moc Toe,1
125414-125,Shoes,Boat Shoes,,Padded,Lace up,Men,Leather,Moc Toe,1
125414-307,Shoes,Boat Shoes,,Removable,Lace up,Men,Leather,Moc Toe,1
125414-524,Shoes,Boat Shoes,,Removable,Lace up,Men,Leather,Moc Toe,1
125414-607,Shoes,Boat Shoes,,Padded,Lace up,Men,Leather,Moc Toe,1
125414-35423,Shoes,Boat Shoes,,Padded,Lace up,Men,Leather,Moc Toe,1
125424-18,Sandals,Flat,,,Slip-On,Men,Leather,,1
125424-20,Sandals,Flat,,,Slip-On,Men,Leather,,1
125506-6,Boots,Ankle,1in - 1 3/4in,Removable,Lace up,Men,Leather;Rubber,Round Toe,1
125632-72,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Leather;Rubber,,1
125632-2198,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Leather;Rubber,,1
125632-4312,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Leather;Rubber,,1
125632-23780,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Leather;Rubber,,1
